firstName,lastName,phoneNumber,email,,Order ID,Product,Quantity,Price per unit,Total
Jeffery,Sanford,1-216-780-0330,swillms@beahan.info,,1031,,,,
Vidal,Herman,820.361.9259,pstehr@hayes.org,,,,,,
Ethan,Pollich,1-224-937-8796,kgoodwin@braun.com,,,,,,
Michelle,Streich,1-430-633-6043,bradtke.rosetta@maggio.com,,,,,,
Victor,Kirlin,602.955.0643,strosin.gina@yahoo.com,,,,,,
Dariana,Trantow,+1.920.593.2767,schamberger.cristina@marks.biz,,,,,,
Rae,Schmidt,+1 (678) 328-2319,arvilla.fay@shanahan.info,,,,,,
Karina,Gulgowski,1-661-312-7140,gardner07@reichel.net,,,,,,
Richie,Bednar,+1.838.700.2324,zulauf.jaiden@yahoo.com,,,,,,
Lydia,Braun,+1.305.333.4583,litzy.wintheiser@dubuque.net,,,,,,
Alvis,Terry,469.929.4277,strosin.nella@breitenberg.org,,,,,,
Queenie,Heathcote,941-285-2607,franecki.mohammad@king.info,,,,,,
Belle,Skiles,15207759986,alessandro.rolfson@wilderman.net,,,,,,
Marco,Bailey,360.535.2515,kaycee36@klocko.com,,,,,,
Hulda,Halvorson,19498534662,dalton72@hotmail.com,,,,,,
Antonetta,Fadel,564.238.8614,violet28@marvin.com,,,,,,
Christa,Ferry,484-450-3436,bbernhard@gmail.com,,,,,,
Emelie,Bauch,234.602.1348,baby.marquardt@feest.com,,,,,,
Edgardo,Baumbach,+1 (970) 950-3558,gleason.florence@wisozk.com,,,,,,
Alanna,Altenwerth,(240) 824-8828,rkessler@yahoo.com,,,,,,
Garnet,Schmeler,754-732-1357,audrey.koelpin@gmail.com,,,,,,
Sonia,Lehner,240-798-1496,javon54@upton.com,,,,,,
Kyra,Walter,14352962562,colin.marquardt@hotmail.com,,,,,,
Pablo,Cartwright,+1 (202) 887-1316,scole@wuckert.com,,,,,,
Woodrow,Bauch,951.959.4551,mschuppe@conn.com,,,,,,
Trisha,Nitzsche,+1 (540) 208-8198,kitty13@watsica.com,,,,,,
Myra,Lynch,747.682.6730,chet.pacocha@dickens.info,,,,,,
Gina,Carroll,+1 (478) 646-8417,klein.treva@yahoo.com,,,,,,
Alvena,Heaney,872.996.3114,foreilly@yahoo.com,,,,,,
Lelia,Wisozk,14344858943,kristina87@gmail.com,,,,,,
Kitty,Herzog,270.935.3914,celia42@yahoo.com,,,,,,
Blaze,Purdy,959-385-9244,russell94@hotmail.com,,,,,,
Renee,Tillman,623.772.1661,coralie87@jast.com,,,,,,
Antonia,Schulist,(808) 617-0509,crona.duncan@gmail.com,,,,,,
Austyn,O'Hara,984-230-7543,rarmstrong@hotmail.com,,,,,,
Alvena,Murazik,270.919.5620,bradtke.barbara@yahoo.com,,,,,,
Janae,Ritchie,(678) 241-0276,bcorkery@yahoo.com,,,,,,
Noemie,Shanahan,12015477917,lbergstrom@hotmail.com,,,,,,
Lukas,Cassin,838.655.4276,abbie62@kiehn.net,,,,,,
Tiara,Jones,1-463-499-3473,vivian.heller@murazik.info,,,,,,
