firstName,lastName,phoneNumber,email,Order ID,Restaurant,Total Items,Total Cost,Delivery Address,Order Date
Gregg,Anderson,1-702-548-3123,terry.josie@ohara.info,1015,Panera Bread,2,$18.50,"555 Cedar Ave, Anytown, USA",3/29/22
Oceane,Hessel,726.705.4154,dward@gmail.com,1016,Pizza Hut,1,$12.50,"888 Pine St, Anytown, USA",3/30/22
Ole,Cartwright,901-445-6927,curt.oconnell@yahoo.com,1017,Domino's Pizza,2,$22.00,"999 Maple Ave, Anytown, USA",3/31/22
Edwardo,Deckow,484.450.8194,feeney.ulices@emmerich.org,1018,McDonald's,2,$12.50,"333 Elm St, Anytown, USA",4/1/22
Monte,West,+1.602.597.9280,bednar.deshawn@dare.com,1019,Taco Bell,2,$13.50,"444 Oak St, Anytown, USA",4/2/22
Ruthe,Macejkovic,385-367-7709,piper.haag@labadie.com,1020,Five Guys,3,$27.75,"555 Cedar Ave, Anytown, USA",4/3/22
Karine,Metz,986-702-5655,london98@yahoo.com,2001,Wendy's,2,$14.50,"123 Main St, Anytown, USA",3/15/22
Breanne,Powlowski,417.366.8517,eulalia81@langworth.com,2002,Cheesecake Factory,3,$45.75,"456 Maple Ave, Anytown, USA",3/16/22
Abe,Reichel,1-585-541-5027,brisa69@yahoo.com,2003,PF Chang's,2,$37.50,"789 Oak St, Anytown, USA",3/17/22
Karelle,Pfeffer,17655813596,isabell25@hotmail.com,2004,Popeyes,1,$8.75,"321 Elm St, Anytown, USA",3/18/22
Mack,Dach,(843) 639-8854,smcglynn@hotmail.com,2005,Blaze Pizza,2,$22.00,"555 Pine St, Anytown, USA",3/19/22
Yvonne,Kub,+1.936.224.7522,markus.bechtelar@altenwerth.com,2006,Denny's,4,$32.25,"777 Cedar Ave, Anytown, USA",3/20/22
Cleo,Yost,757.364.3736,ryleigh54@schimmel.com,2007,Dunkin' Donuts,1,$6.50,"888 Oak St, Anytown, USA",3/21/22
Cleora,Krajcik,304.706.2771,loyal.dicki@yahoo.com,2008,Shake Shack,2,$23.50,"333 Maple Ave, Anytown, USA",3/22/22
Earlene,Daugherty,+1.727.892.3636,audreanne66@yahoo.com,2009,California Pizza Kitchen,3,$27.75,"444 Pine St, Anytown, USA",3/23/22
Sam,Mante,13379330359,dante43@leffler.com,2010,IHOP,1,$12.50,"999 Main St, Anytown, USA",3/24/22
Jeffery,Sanford,1-216-780-0330,swillms@beahan.info,2011,Potbelly Sandwich Shop,2,$16.50,"777 Maple Ave, Anytown, USA",3/25/22
Vidal,Herman,820.361.9259,pstehr@hayes.org,,,,,,
Ethan,Pollich,1-224-937-8796,kgoodwin@braun.com,,,,,,
Michelle,Streich,1-430-633-6043,bradtke.rosetta@maggio.com,,,,,,
Victor,Kirlin,602.955.0643,strosin.gina@yahoo.com,,,,,,
Dariana,Trantow,+1.920.593.2767,schamberger.cristina@marks.biz,,,,,,
Rae,Schmidt,+1 (678) 328-2319,arvilla.fay@shanahan.info,,,,,,
Karina,Gulgowski,1-661-312-7140,gardner07@reichel.net,,,,,,
Richie,Bednar,+1.838.700.2324,zulauf.jaiden@yahoo.com,,,,,,
Lydia,Braun,+1.305.333.4583,litzy.wintheiser@dubuque.net,,,,,,
Alvis,Terry,469.929.4277,strosin.nella@breitenberg.org,,,,,,
Queenie,Heathcote,941-285-2607,franecki.mohammad@king.info,,,,,,
Belle,Skiles,15207759986,alessandro.rolfson@wilderman.net,,,,,,
Marco,Bailey,360.535.2515,kaycee36@klocko.com,,,,,,
Hulda,Halvorson,19498534662,dalton72@hotmail.com,,,,,,
Antonetta,Fadel,564.238.8614,violet28@marvin.com,,,,,,
Christa,Ferry,484-450-3436,bbernhard@gmail.com,,,,,,
Emelie,Bauch,234.602.1348,baby.marquardt@feest.com,,,,,,
Edgardo,Baumbach,+1 (970) 950-3558,gleason.florence@wisozk.com,,,,,,
Alanna,Altenwerth,(240) 824-8828,rkessler@yahoo.com,,,,,,
Garnet,Schmeler,754-732-1357,audrey.koelpin@gmail.com,,,,,,
Sonia,Lehner,240-798-1496,javon54@upton.com,,,,,,
Kyra,Walter,14352962562,colin.marquardt@hotmail.com,,,,,,
Pablo,Cartwright,+1 (202) 887-1316,scole@wuckert.com,,,,,,
Woodrow,Bauch,951.959.4551,mschuppe@conn.com,,,,,,
Trisha,Nitzsche,+1 (540) 208-8198,kitty13@watsica.com,,,,,,
Myra,Lynch,747.682.6730,chet.pacocha@dickens.info,,,,,,
Gina,Carroll,+1 (478) 646-8417,klein.treva@yahoo.com,,,,,,
Alvena,Heaney,872.996.3114,foreilly@yahoo.com,,,,,,
Lelia,Wisozk,14344858943,kristina87@gmail.com,,,,,,
Kitty,Herzog,270.935.3914,celia42@yahoo.com,,,,,,
Blaze,Purdy,959-385-9244,russell94@hotmail.com,,,,,,
Renee,Tillman,623.772.1661,coralie87@jast.com,,,,,,
Antonia,Schulist,(808) 617-0509,crona.duncan@gmail.com,,,,,,
Austyn,O'Hara,984-230-7543,rarmstrong@hotmail.com,,,,,,
Alvena,Murazik,270.919.5620,bradtke.barbara@yahoo.com,,,,,,
Janae,Ritchie,(678) 241-0276,bcorkery@yahoo.com,,,,,,
Noemie,Shanahan,12015477917,lbergstrom@hotmail.com,,,,,,
Lukas,Cassin,838.655.4276,abbie62@kiehn.net,,,,,,
Tiara,Jones,1-463-499-3473,vivian.heller@murazik.info,,,,,,
